#  JIO#
#  Name of dataset:	
#  Generating program:	Fresn-Main-AD2-v1.vi
#  Saved on file:	17-6-2025	14:03
#  Total number of sections:	1
#  ***SECTION	Dataset
#  *FREE
#  Model: CCD-S3600-D(-UV)
#  Hardware Revision: A1.00
#  Firmware Revision: A1.10
#  Serial Number:   015035288C33EBB5
#  type apertuur:
#  *PARA
#  n			aantal spleten 
#  a		mm	afstand tussen spleten 
#  b		mm	breedte spleten
#  l		m	Golflengte 
#  d	0	m	afstand puntbron tot apertuur
#  lB		m	afstand bronlens tot apertuur
#  fB		m	brandpuntsafstand bronlens
#  s	0	m	afstand apertuur tot scherm 
#  lS	 	m	afstand  apertuur tot schermlens 
#  fS		m	brandpuntsafstand schermlens 
#  p	8	um	Sensor Pixel Pitch
#  U	2.30	V	Voltage_Laserdiode
#  T	20	us	Integration Time
#  n	32		Scans per Acquisition
#  HwC	Off		Hardware Dark Correction
#  *DATA	3648	rows	2	columns
#  Index   	Averages
       0	490.844  
       1	507.437  
       2	523.281  
       3	534.562  
       4	553.406  
       5	569.594  
       6	588.125  
       7	602.062  
       8	611.094  
       9	616.156  
      10	619.469  
      11	622.250  
      12	626.750  
      13	630.687  
      14	635.250  
      15	640.000  
      16	644.812  
      17	647.281  
      18	657.437  
      19	654.875  
      20	668.187  
      21	669.062  
      22	668.031  
      23	665.094  
      24	670.406  
      25	675.031  
      26	680.344  
      27	684.625  
      28	687.312  
      29	686.219  
      30	684.250  
      31	682.344  
      32	680.562  
      33	679.750  
      34	679.906  
      35	680.406  
      36	681.281  
      37	681.031  
      38	688.031  
      39	684.344  
      40	695.719  
      41	693.875  
      42	689.844  
      43	683.812  
      44	687.031  
      45	690.375  
      46	694.844  
      47	698.500  
      48	698.875  
      49	696.000  
      50	692.281  
      51	689.906  
      52	688.719  
      53	687.156  
      54	687.844  
      55	688.187  
      56	688.344  
      57	688.031  
      58	694.625  
      59	690.187  
      60	701.406  
      61	698.375  
      62	693.719  
      63	688.187  
      64	690.406  
      65	693.094  
      66	697.750  
      67	700.344  
      68	700.469  
      69	697.312  
      70	692.969  
      71	690.844  
      72	688.812  
      73	688.062  
      74	688.469  
      75	688.000  
      76	689.406  
      77	688.500  
      78	695.812  
      79	692.625  
      80	705.844  
      81	702.875  
      82	698.906  
      83	694.094  
      84	697.531  
      85	700.719  
      86	705.562  
      87	709.156  
      88	710.437  
      89	708.562  
      90	705.000  
      91	702.312  
      92	701.000  
      93	701.312  
      94	701.250  
      95	701.094  
      96	701.219  
      97	700.906  
      98	707.781  
      99	704.125  
     100	717.625  
     101	714.187  
     102	710.875  
     103	705.375  
     104	708.937  
