#  JIO#
#  Name of dataset:	
#  Generating program:	Fresn-Main-AD2-v1.vi
#  Saved on file:	16-6-2025	10:00
#  Total number of sections:	1
#  ***SECTION	Dataset
#  *FREE
#  Model: CCD-S3600-D(-UV)
#  Hardware Revision: A1.00
#  Firmware Revision: A1.10
#  Serial Number:   015035288C33EBB5
#  type apertuur:
#  *PARA
#  n			aantal spleten 
#  a		mm	afstand tussen spleten 
#  b		mm	breedte spleten
#  l		m	Golflengte 
#  d	0	m	afstand puntbron tot apertuur
#  lB		m	afstand bronlens tot apertuur
#  fB		m	brandpuntsafstand bronlens
#  s	0	m	afstand apertuur tot scherm 
#  lS	 	m	afstand  apertuur tot schermlens 
#  fS		m	brandpuntsafstand schermlens 
#  p	8	um	Sensor Pixel Pitch
#  U	2.30	V	Voltage_Laserdiode
#  T	10	us	Integration Time
#  n	10		Scans per Acquisition
#  HwC	Off		Hardware Dark Correction
#  *DATA	3648	rows	2	columns
#  Index   	Averages
       0	440.300  
       1	439.800  
       2	438.400  
       3	434.700  
       4	437.700  
       5	439.800  
       6	442.700  
       7	443.500  
       8	451.000  
       9	442.300  
      10	442.000  
      11	441.200  
      12	440.000  
      13	435.300  
      14	437.300  
      15	439.300  
      16	442.600  
      17	443.100  
      18	449.800  
      19	442.100  
      20	441.400  
      21	439.900  
      22	439.200  
      23	434.900  
      24	437.500  
      25	440.000  
      26	442.700  
      27	442.700  
      28	449.500  
      29	442.000  
      30	440.700  
      31	440.500  
      32	439.400  
      33	434.700  
      34	436.900  
      35	439.700  
      36	442.300  
      37	442.300  
      38	449.700  
      39	442.000  
      40	441.800  
      41	440.400  
      42	439.600  
      43	434.500  
      44	437.900  
      45	440.100  
      46	442.700  
      47	442.900  
      48	449.500  
      49	442.400  
      50	441.900  
      51	441.100  
      52	439.600  
      53	435.300  
      54	438.000  
      55	439.800  
      56	442.400  
      57	443.000  
      58	449.600  
      59	442.100  
      60	441.700  
      61	441.100  
      62	439.600  
      63	435.700  
      64	438.000  
      65	440.700  
      66	442.700  
      67	442.800  
      68	449.400  
      69	441.800  
      70	440.700  
      71	440.400  
      72	439.600  
      73	434.800  
      74	437.100  
      75	439.400  
      76	441.900  
      77	442.200  
      78	449.500  
      79	441.600  
      80	441.000  
      81	439.700  
      82	438.900  
      83	435.000  
      84	436.800  
      85	439.400  
      86	442.200  
      87	442.400  
      88	448.800  
      89	441.700  
      90	441.500  
      91	440.900  
      92	439.600  
      93	435.100  
      94	437.400  
      95	439.800  
      96	442.600  
      97	443.400  
      98	449.900  
      99	441.900  
     100	441.300  
     101	440.700  
     102	439.600  
     103	435.100  
     104	438.000  
     105	440.700  
     106	442.000  
     107	443.400  
     108	450.400  
     109	442.300  
     110	441.600  
     111	441.100  
     112	440.300  
     113	435.500  
     114	438.200  
     115	440.100  
     116	443.100  
     117	443.200  
     118	450.400  
     119	442.200  
     120	441.800  
     121	441.600  
     122	440.100  
     123	435.600  
     124	438.300  
     125	441.200  
     126	443.000  
     127	443.600  
     128	450.600  
     129	443.100  
     130	442.400  
     131	441.700  
     132	440.500  
     133	435.300  
     134	437.400  
     135	440.200  
     136	442.600  
     137	443.200  
     138	450.200  
     139	442.500  
     140	441.400  
     141	441.400  
     142	440.100  
     143	435.700  
     144	437.800  
     145	440.200  
     146	442.600  
     147	443.600  
     148	450.000  
     149	441.700  
     150	441.300  
     151	440.200  
     152	439.000  
     153	435.000  
     154	437.400  
     155	439.200  
     156	441.600  
     157	442.400  
     158	449.900  
     159	441.800  
     160	441.100  
     161	440.300  
     162	439.100  
     163	435.300  
     164	437.400  
     165	439.800  
     166	443.200  
     167	443.000  
     168	449.700  
     169	441.500  
     170	441.300  
     171	440.000  
     172	439.100  
     173	435.200  
     174	437.400  
     175	439.900  
     176	442.400  
     177	442.800  
     178	449.700  
     179	441.700  
     180	441.400  
     181	440.400  
     182	439.800  
     183	435.000  
     184	437.400  
     185	440.400  
     186	442.500  
     187	443.100  
     188	450.200  
     189	442.400  
     190	441.800  
     191	441.200  
     192	440.200  
     193	435.600  
     194	437.300  
     195	439.400  
     196	442.600  
     197	442.800  
     198	450.100  
     199	442.400  
     200	441.400  
     201	441.400  
     202	439.900  
     203	435.600  
     204	437.800  
     205	439.800  
     206	443.000  
     207	443.000  
     208	449.800  
     209	441.700  
     210	441.200  
     211	440.200  
     212	438.900  
     213	435.000  
     214	437.400  
     215	440.000  
     216	442.000  
     217	443.000  
     218	449.900  
     219	442.000  
     220	442.300  
     221	441.700  
     222	440.400  
     223	435.900  
     224	438.500  
     225	440.400  
     226	442.800  
     227	443.300  
     228	450.600  
     229	442.700  
     230	441.800  
     231	441.800  
     232	439.900  
     233	435.200  
     234	437.900  
     235	440.300  
     236	442.700  
     237	443.400  
     238	450.400  
     239	442.300  
     240	441.500  
     241	441.300  
     242	439.400  
     243	435.200  
     244	438.000  
     245	440.500  
     246	443.300  
     247	444.100  
     248	450.700  
     249	442.000  
     250	441.800  
     251	441.400  
     252	439.800  
     253	435.200  
     254	437.500  
     255	440.500  
     256	442.300  
     257	443.600  
     258	450.200  
     259	442.200  
     260	441.800  
     261	440.900  
     262	440.400  
     263	435.500  
     264	437.900  
     265	440.600  
